Input,Time_s,Speed_RPM
0,580.152,0
0,580.202,0
0,580.252,0
0,580.302,0
0,580.352,0
0,580.402,0
0,580.452,0
0,580.502,0
0,580.552,0
0,580.602,0
0,580.652,0
0,580.702,0
0,580.752,0
0,580.802,0
0,580.852,0
0,580.902,0
0,580.952,0
0,581.002,0
0,581.052,0
0,581.102,0
0,581.152,0
0,581.202,0
0,581.252,0
0,581.302,0
0,581.352,0
0,581.402,0
0,581.452,0
0,581.502,0
0,581.552,0
0,581.602,0
0,581.652,0
0,581.702,0
0,581.752,0
0,581.802,0
0,581.852,0
0,581.902,0
0,581.952,0
0,582.002,0
0,582.052,0
0,582.102,0
0,582.152,0
0,582.202,0
0,582.252,0
0,582.302,0
0,582.352,0
0,582.402,0
0,582.452,0
0,582.502,0
0,582.552,0
0,582.602,0
0,582.652,0
0,582.702,0
0,582.752,0
0,582.802,0
0,582.852,0
0,582.902,0
0,582.952,0
125,583.002,0
125,583.052,72
125,583.102,210
125,583.152,336
125,583.202,444
125,583.252,552
125,583.302,642
125,583.352,726
125,583.402,804
125,583.452,870
125,583.502,936
125,583.552,990
125,583.602,1050
125,583.652,1092
125,583.702,1140
125,583.752,1188
125,583.802,1218
125,583.852,1260
125,583.902,1290
125,583.952,1326
125,584.002,1350
125,584.052,1380
125,584.102,1404
125,584.152,1428
125,584.202,1452
125,584.252,1470
125,584.302,1494
125,584.352,1506
125,584.402,1530
125,584.452,1542
125,584.502,1554
125,584.552,1572
125,584.602,1590
125,584.652,1596
125,584.702,1608
125,584.752,1620
125,584.802,1632
125,584.852,1638
125,584.902,1650
125,584.952,1662
125,585.002,1668
125,585.052,1674
125,585.102,1680
125,585.152,1692
125,585.202,1692
125,585.252,1704
125,585.302,1710
125,585.352,1710
125,585.402,1722
125,585.452,1722
125,585.502,1728
125,585.552,1734
125,585.602,1734
125,585.652,1740
125,585.702,1746
125,585.752,1746
125,585.802,1752
125,585.852,1752
125,585.902,1758
125,585.952,1758
125,586.002,1764
125,586.052,1764
125,586.102,1770
125,586.152,1770
125,586.202,1770
125,586.252,1770
125,586.302,1776
125,586.352,1782
125,586.402,1776
125,586.452,1782
125,586.502,1782
125,586.552,1782
125,586.602,1782
125,586.652,1788
125,586.702,1788
125,586.752,1788
125,586.802,1788
125,586.852,1794
125,586.902,1788
125,586.952,1794
125,587.002,1794
125,587.052,1794
125,587.102,1794
125,587.152,1794
125,587.202,1794
125,587.252,1800
125,587.302,1800
125,587.352,1800
125,587.402,1794
125,587.452,1800
125,587.502,1800
125,587.552,1800
125,587.602,1800
125,587.652,1806
125,587.702,1800
125,587.752,1800
125,587.802,1806
125,587.852,1800
125,587.902,1806
125,587.952,1800
125,588.002,1806
125,588.052,1806
125,588.102,1800
125,588.152,1806
125,588.202,1806
125,588.252,1806
125,588.302,1800
125,588.352,1812
125,588.402,1800
125,588.452,1806
125,588.502,1806
125,588.552,1806
125,588.602,1806
125,588.652,1812
125,588.702,1806
125,588.752,1806
125,588.802,1806
125,588.852,1806
125,588.902,1806
125,588.952,1812
250,589.002,1806
250,589.052,1854
250,589.102,1944
250,589.152,2028
250,589.202,2106
250,589.252,2178
250,589.302,2238
250,589.352,2304
250,589.402,2364
250,589.452,2418
250,589.502,2466
250,589.552,2514
250,589.602,2556
250,589.652,2598
250,589.702,2634
250,589.752,2676
250,589.802,2706
250,589.852,2742
250,589.902,2766
250,589.952,2802
250,590.002,2826
250,590.052,2850
250,590.102,2874
250,590.152,2892
250,590.202,2922
250,590.252,2934
250,590.302,2958
250,590.352,2976
250,590.402,2994
250,590.452,3006
250,590.502,3024
250,590.552,3036
250,590.602,3048
250,590.652,3066
250,590.702,3078
250,590.752,3084
250,590.802,3102
250,590.852,3102
250,590.902,3120
250,590.952,3132
250,591.002,3132
250,591.052,3144
250,591.102,3156
250,591.152,3156
250,591.202,3168
250,591.252,3174
250,591.302,3186
250,591.352,3186
250,591.402,3192
250,591.452,3198
250,591.502,3204
250,591.552,3204
250,591.602,3216
250,591.652,3216
250,591.702,3222
250,591.752,3222
250,591.802,3234
250,591.852,3234
250,591.902,3234
250,591.952,3240
250,592.002,3240
250,592.052,3246
250,592.102,3252
250,592.152,3252
250,592.202,3252
250,592.252,3252
250,592.302,3258
250,592.352,3264
250,592.402,3258
250,592.452,3264
250,592.502,3270
250,592.552,3264
250,592.602,3270
250,592.652,3270
250,592.702,3276
250,592.752,3270
250,592.802,3276
250,592.852,3276
250,592.902,3282
250,592.952,3276
250,593.002,3282
250,593.052,3282
250,593.102,3282
250,593.152,3282
250,593.202,3282
250,593.252,3288
250,593.302,3282
250,593.352,3288
250,593.402,3288
250,593.452,3288
250,593.502,3288
250,593.552,3288
250,593.602,3294
250,593.652,3288
250,593.702,3294
250,593.752,3288
250,593.802,3294
250,593.852,3294
250,593.902,3294
250,593.952,3294
250,594.002,3294
250,594.052,3294
250,594.102,3294
250,594.152,3294
250,594.202,3300
250,594.252,3294
250,594.302,3294
250,594.352,3294
250,594.402,3300
250,594.452,3300
250,594.502,3294
250,594.552,3300
250,594.602,3294
250,594.652,3300
250,594.702,3300
250,594.752,3300
250,594.802,3294
250,594.852,3300
250,594.902,3300
250,594.952,3300
0,595.002,3300
0,595.052,3270
0,595.102,3204
0,595.152,3150
0,595.202,3090
0,595.252,3024
0,595.302,2970
0,595.352,2910
0,595.402,2850
0,595.452,2790
0,595.502,2730
0,595.552,2676
0,595.602,2616
0,595.652,2556
0,595.702,2496
0,595.752,2442
0,595.802,2376
0,595.852,2322
0,595.902,2262
0,595.952,2208
0,596.002,2148
0,596.052,2082
0,596.102,2028
0,596.152,1968
0,596.202,1908
0,596.252,1848
0,596.302,1794
0,596.352,1728
0,596.402,1668
0,596.452,1608
0,596.502,1548
0,596.552,1488
0,596.602,1428
0,596.652,1362
0,596.702,1308
0,596.752,1242
0,596.802,1182
0,596.852,1122
0,596.902,1068
0,596.952,1002
0,597.002,942
0,597.052,888
0,597.102,834
0,597.152,774
0,597.202,726
0,597.252,666
0,597.302,624
0,597.352,570
0,597.402,528
0,597.452,486
0,597.502,444
0,597.552,408
0,597.602,366
0,597.652,342
0,597.702,306
0,597.752,276
0,597.802,252
0,597.852,228
0,597.902,210
0,597.952,186
0,598.002,168
0,598.052,150
0,598.102,132
0,598.152,120
0,598.202,108
0,598.252,96
0,598.302,90
0,598.352,72
0,598.402,66
0,598.452,60
0,598.502,54
0,598.552,42
0,598.602,42
0,598.652,36
0,598.702,24
0,598.752,24
0,598.802,24
0,598.852,12
0,598.902,12
0,598.952,12
0,599.002,6
0,599.052,6
0,599.102,0
0,599.152,0
0,599.202,0
0,599.252,0
0,599.302,-6
0,599.352,0
0,599.402,0
0,599.452,0
0,599.502,0
0,599.552,0
0,599.602,0
0,599.652,0
0,599.702,0
0,599.752,0
0,599.802,0
0,599.852,0
0,599.902,0
0,599.952,0
0,600.002,0
0,600.052,0
0,600.102,0
0,600.152,0
0,600.202,0
0,600.252,0
0,600.302,0
0,600.352,0
0,600.402,0
0,600.452,0
0,600.502,0
0,600.552,0
0,600.602,0
0,600.652,0
0,600.702,0
0,600.752,0
0,600.802,0
0,600.852,0
0,600.902,0
0,600.952,0